Energy(eV),FePO4,GaP
2027.174659,250.92,290.78
2027.222976,178.72,242.46
2027.271318,184.88,207.38
2027.319687,202.2,207.8
2027.368082,198.32,192.9
2027.416504,193.64,210.22
2027.464952,179.4,223.62
2027.513426,185,222.14
2027.561927,203.68,213.9
2027.610454,165.54,232.6
2027.659008,171.2,235.56
2027.707588,174.96,243.38
2027.756195,165.56,270.94
2027.804827,170.44,234.42
2027.853487,173.8,297
2027.902172,176.7,282.56
2027.950885,139.5,269.08
2027.999623,151.36,292.2
2028.048388,154.44,291.54
2028.09718,163.1,333.04
2028.145998,146.56,334.22
2028.194842,147.4,371.02
2028.243713,155.6,380.82
2028.29261,140.82,353.18
2028.341534,144.52,342.28
2028.390484,187.02,415.22
2028.439461,145.3,386.8
2028.488464,151.32,346.86
2028.537494,187.16,427.38
2028.58655,201.46,388.68
2028.635633,148.98,343.88
2028.684742,146,313.1
2028.733878,166.64,304.28
2028.78304,154.1,300.78
2028.832229,135.5,308.62
2028.881444,150.6,281.36
2028.930686,154.32,263.74
2028.979954,156.46,245.58
2029.029249,187.9,237.24
2029.07857,170.16,227.88
2029.127918,184.06,192.92
2029.177293,171.6,200.84
2029.226693,186.38,216.88
2029.276121,176.72,192.44
2029.325575,183.72,190.92
2029.375056,220.22,178.72
2029.424563,192.42,177.5
2029.474097,183.4,167.34
2029.523657,201.14,169.38
2029.573244,181.28,158.22
2029.622857,286.68,224.66
2029.672498,197.64,169.48
2029.722164,234.74,135.9
2029.771858,223.02,158.08
2029.821577,226.84,150.38
2029.871324,238.28,130.58
2029.921097,217.12,119.46
2029.970897,214.08,125.14
2030.020723,204.5,135.26
2030.070576,194.8,134.38
2030.120455,207.82,179.38
2030.170362,224.5,202.36
2030.220294,184.52,129.52
2030.270254,199.04,124.92
2030.32024,168.04,136.6
2030.370253,174.3,125.98
2030.420292,151,126.18
2030.470358,155.38,129.6
2030.520451,154.66,111.62
2030.57057,142.64,115.32
2030.620717,133.38,125.14
2030.670889,115,113.2
2030.721089,133.34,116
2030.771315,130.38,135.96
2030.821568,140.78,120.4
2030.871847,116.04,105.72
2030.922153,110.66,125.64
2030.972486,123.08,101.2
2031.022846,121.48,114.46
2031.073232,123.88,109.52
2031.123645,130.76,113.06
2031.174085,123.48,105.12
2031.224551,122.36,109.92
2031.275044,119.78,112.58
2031.325564,108.44,108.08
2031.376111,97.74,114.68
2031.426684,108.16,110
2031.477284,121.26,99.26
2031.527911,120.52,112.22
2031.578565,128.8,128.3
2031.629245,125.88,100.06
2031.679952,122.6,100
2031.730686,151.58,145.36
2031.781447,150.46,162.44
2031.832235,103.54,122.88
2031.883049,114.68,95.9
2031.93389,104.52,118.78
2031.984758,123.74,109.72
2032.035652,121.4,96
2032.086574,133.64,115.72
2032.137522,97.62,102.58
2032.188497,105.04,100.06
2032.239499,108,106.64
2032.290527,94.92,126.42
2032.341583,109.48,116.02
2032.392665,90.82,115.82
2032.443774,111.8,110.74
2032.49491,116.04,110.74
2032.546073,90.42,102.38
2032.597262,125.34,128.46
2032.648479,107.62,87.56
2032.699722,96.4,106.34
2032.750992,112.68,103.36
2032.802289,108.04,103.64
2032.853613,124.54,97.04
2032.904964,104.92,110.9
2032.956342,113.84,112.94
2033.007746,136.68,87.78
2033.059178,97.3,116.5
2033.110636,109.88,99.5
2033.162121,115.26,107.14
2033.213633,109.4,117.28
2033.265172,110.02,110.6
2033.316738,111.34,111.3
2033.368331,148.76,152.24
2033.41995,158.38,189.24
2033.471597,112.78,94.54
2033.52327,123.36,98.96
2033.574971,106.46,105.52
2033.626698,118.08,98.86
2033.678453,110.5,115.52
2033.730234,116.78,94.34
2033.782042,118.66,96.76
2033.833877,125.3,107.1
2033.885739,117.94,104.08
2033.937628,105.56,115.06
2033.989544,114.9,102.7
2034.041487,100.96,96.58
2034.093457,115.82,119.62
2034.145454,110.32,119.02
2034.197478,108.14,111.82
2034.249529,109.64,102.56
2034.301606,108.36,118.56
2034.353711,114.92,107.94
2034.405843,104.2,107.4
2034.458002,119.02,110.6
2034.510188,112.44,104.66
2034.562401,102.94,106.56
2034.61464,119.86,104.28
2034.666907,106.6,105.14
2034.719201,117.42,98.98
2034.771522,112.22,105.68
2034.82387,102.24,109.7
2034.876245,108.74,132.92
2034.928647,113.48,114.94
2034.981076,112,113.16
2035.033532,161.2,160.94
2035.086015,162.84,170.32
2035.138526,102.12,94.32
2035.191063,103.08,107.56
2035.243627,85.6,119.16
2035.296219,130.76,119.64
2035.348837,96.14,118.74
2035.401483,102.88,112.4
2035.454155,117.98,97.72
2035.506855,118.06,91.68
2035.559582,196.44,186.78
2035.612336,131.56,120.24
2035.665117,121.02,103.08
2035.717925,51.7,77.42
2035.77076,0,0
2035.823622,0,0
2035.876512,0,0
2035.929428,0,0
2035.982372,0,0
2036.035343,0,0
2036.088341,0,0
2036.141366,0,0
2036.194418,0,0
2036.247498,0,0
2036.300604,0,0
2036.353738,0,0
2036.406899,0,0
2036.460087,0,0
2036.513302,0,0
2036.566545,0,0
2036.619814,0,0
2036.673111,0,0
